sitename,county,aqi,pollutant,status,co,pm2.5,pm2.5_avg,nox
沙鹿,台中市,27,,良好,0.23,5.0,5.9,13.0
豐原,台中市,38,,良好,0.35,10.0,9.5,14.2
三義,苗栗縣,26,,良好,0.17,3.0,4.1,4.0
苗栗,苗栗縣,27,,良好,0.25,2.0,3.2,10.6
頭份,苗栗縣,27,,良好,0.22,5.0,5.5,11.9
新竹,新竹市,31,,良好,0.28,6.0,7.4,13.9
竹東,新竹縣,28,,良好,0.17,2.0,3.1,8.0
湖口,新竹縣,29,,良好,0.21,6.0,4.2,13.5
龍潭,桃園市,25,,良好,0.2,3.0,3.5,9.6
平鎮,桃園市,38,,良好,0.39,8.0,8.4,19.2
觀音,桃園市,28,,良好,0.13,7.0,7.0,7.5
大園,桃園市,29,,良好,0.16,7.0,6.6,14.2
桃園,桃園市,38,,良好,0.34,4.0,7.2,18.0
大同,台北市,61,二氧化氮,普通,1.28,10.0,9.7,92.0
松山,台北市,55,二氧化氮,普通,0.31,6.0,7.6,33.4
古亭,台北市,36,,良好,0.29,5.0,4.7,16.7
萬華,台北市,53,二氧化氮,普通,0.35,7.0,6.0,28.5
中山,台北市,54,二氧化氮,普通,0.5,8.0,8.2,35.3
士林,台北市,29,,良好,0.24,0.0,5.2,13.5
淡水,新北市,32,,良好,0.23,8.0,7.7,14.0
林口,新北市,38,,良好,0.26,7.0,7.5,18.5
菜寮,新北市,45,,良好,0.36,4.0,4.0,21.1
新莊,新北市,43,,良好,0.34,7.0,6.3,20.2
板橋,新北市,52,二氧化氮,普通,0.41,6.0,6.9,26.9
土城,新北市,52,二氧化氮,普通,0.53,3.0,4.1,26.1
新店,新北市,36,,良好,0.29,5.0,4.5,17.5
汐止,新北市,45,,良好,0.23,10.0,8.2,21.0
基隆,基隆市,33,,良好,0.27,5.0,6.7,11.2
嘉義（東區）,嘉義市,70,細懸浮微粒,普通,0.55,22.0,19.5,40.4
屏東(枋山),屏東縣,76,細懸浮微粒,普通,0.2,2.0,21.7,6.2
臺南（南化）,台南市,55,細懸浮微粒,普通,0.29,19.0,14.1,9.7
新北(樹林),新北市,51,二氧化氮,普通,0.38,8.0,9.2,32.3
屏東（琉球）,屏東縣,51,細懸浮微粒,普通,0.26,12.0,12.5,6.6
南投（鹿谷）,南投縣,44,,良好,0.3,15.0,11.0,12.4
高雄（湖內）,高雄市,70,細懸浮微粒,普通,0.28,15.0,19.4,15.2
宜蘭（三星）,宜蘭縣,29,,良好,0.13,2.0,2.8,2.3
林森,台南市,68,懸浮微粒,普通,0.63,11.0,17.2,26.1
員林,彰化縣,52,細懸浮微粒,普通,0.34,12.0,13.0,22.3
大城,彰化縣,51,懸浮微粒,普通,0.2,8.0,11.8,14.2
富貴角,新北市,53,細懸浮微粒,普通,0.06,9.0,13.3,0.5
麥寮,雲林縣,57,懸浮微粒,普通,0.3,10.0,9.1,14.5
關山,台東縣,29,,良好,0.22,6.0,3.5,7.0
馬公,澎湖縣,54,懸浮微粒,普通,0.19,10.0,11.6,3.6
金門,金門縣,81,細懸浮微粒,普通,0.28,21.0,23.6,11.8
馬祖,連江縣,76,細懸浮微粒,普通,0.2,14.0,21.5,6.2
埔里,南投縣,59,細懸浮微粒,普通,0.37,22.0,15.5,10.7
復興,高雄市,72,細懸浮微粒,普通,0.55,23.0,20.1,26.0
永和,新北市,35,,良好,0.43,6.0,8.8,20.3
竹山,南投縣,71,懸浮微粒,普通,0.35,23.0,19.5,18.7
中壢,桃園市,50,,良好,0.68,9.0,9.5,36.8
三重,新北市,59,二氧化氮,普通,1.16,11.0,10.5,89.4
冬山,宜蘭縣,28,,良好,0.14,7.0,6.8,4.2
宜蘭,宜蘭縣,33,,良好,0.18,5.0,8.2,6.2
陽明,台北市,36,,良好,0.15,1.0,1.6,2.0
花蓮,花蓮縣,38,,良好,0.44,9.0,3.2,18.5
臺東,台東縣,28,,良好,0.33,5.0,2.4,9.9
恆春,屏東縣,36,,良好,0.13,3.0,2.7,1.8
潮州,屏東縣,69,細懸浮微粒,普通,0.34,14.0,19.0,10.1
屏東,屏東縣,76,細懸浮微粒,普通,0.39,23.0,21.5,22.6
小港,高雄市,75,細懸浮微粒,普通,0.49,21.0,21.2,28.2
前鎮,高雄市,69,細懸浮微粒,普通,0.51,21.0,19.0,28.3
前金,高雄市,64,細懸浮微粒,普通,0.36,19.0,17.1,20.7
左營,高雄市,70,細懸浮微粒,普通,0.33,23.0,19.5,17.1
楠梓,高雄市,86,細懸浮微粒,普通,0.4,29.0,25.2,23.1
林園,高雄市,70,細懸浮微粒,普通,0.4,24.0,19.6,26.1
大寮,高雄市,81,細懸浮微粒,普通,0.51,35.0,23.4,42.8
